"Time,s";"Lumbar Flexion,deg";"Lumbar Lateral - RT,deg";"Lumbar Axial - RT,deg";"Thoracic Flexion,deg";"Thoracic Lateral - RT,deg";"Thoracic Axial - RT,deg";"LT Ellbogen Flexion,deg";"RT Ellbogen Flexion,deg";"LT Shoulder Total Flexion,deg";"RT Shoulder Total Flexion,deg";"LT Schulter Flexion,deg";"RT Schulter Flexion,deg";"LT Schulter Abduktion,deg";"RT Schulter Abduktion,deg";"LT Shoulder Rotation - out,deg";"RT Shoulder Rotation - out,deg";"LT Wrist Extension,deg";"RT Wrist Extension,deg";"LT Wrist Radial,deg";"RT Wrist Radial,deg";"LT Hand Supination,deg";"RT Hand Supination,deg";"LT Hüfte Flexion,deg";"RT Hüfte Flexion,deg";"LT Hüfte Abduktion,deg";"RT Hüfte Abduktion,deg";"LT Hip Rotation - out,deg";"RT Hip Rotation - out,deg";"LT Knie Flexion,deg";"RT Knie Flexion,deg";"LT Knee rotation - out,deg";"RT Knee rotation - out,deg";"LT Knee abduction,deg";"RT Knee abduction,deg";"LT Sprunggelenk Dorsiflexion,deg";"RT Sprunggelenk Dorsiflexion,deg";"LT Ankle Inversion,deg";"RT Ankle Inversion,deg";"LT Ankle Abduction,deg";"RT Ankle Abduction,deg";"Upper spine course,deg";"Upper spine pitch,deg";"Upper spine roll,deg";"Lower spine course,deg";"Lower spine pitch,deg";"Lower spine roll,deg";"Becken course,deg";"Becken pitch,deg";"Becken roll,deg";"LT Upper arm course,deg";"LT Upper arm pitch,deg";"LT Upper arm roll,deg";"LT Forearm course,deg";"LT Forearm pitch,deg";"LT Forearm roll,deg";"LT Hand course,deg";"LT Hand pitch,deg";"LT Hand roll,deg";"LT Thigh course,deg";"LT Thigh pitch,deg";"LT Thigh roll,deg";"LT Shank course,deg";"LT Shank pitch,deg";"LT Shank roll,deg";"LT Foot course,deg";"LT Foot pitch,deg";"LT Foot roll,deg";"RT Upper arm course,deg";"RT Upper arm pitch,deg";"RT Upper arm roll,deg";"RT Forearm course,deg";"RT Forearm pitch,deg";"RT Forearm roll,deg";"RT Hand course,deg";"RT Hand pitch,deg";"RT Hand roll,deg";"RT Thigh course,deg";"RT Thigh pitch,deg";"RT Thigh roll,deg";"RT Shank course,deg";"RT Shank pitch,deg";"RT Shank roll,deg";"RT Foot course,deg";"RT Foot pitch,deg";"RT Foot roll,deg";"Noraxon MyoMotion.Sync,An";"Upper spine Accel Earth X,mG";"Upper spine Accel Earth Y,mG";"Upper spine Accel Earth Z,mG";"LT Upper arm Accel Earth X,mG";"LT Upper arm Accel Earth Y,mG";"LT Upper arm Accel Earth Z,mG";"LT Forearm Accel Earth X,mG";"LT Forearm Accel Earth Y,mG";"LT Forearm Accel Earth Z,mG";"LT Hand Accel Earth X,mG";"LT Hand Accel Earth Y,mG";"LT Hand Accel Earth Z,mG";"RT Upper arm Accel Earth X,mG";"RT Upper arm Accel Earth Y,mG";"RT Upper arm Accel Earth Z,mG";"RT Forearm Accel Earth X,mG";"RT Forearm Accel Earth Y,mG";"RT Forearm Accel Earth Z,mG";"RT Hand Accel Earth X,mG";"RT Hand Accel Earth Y,mG";"RT Hand Accel Earth Z,mG";"Lower spine Accel Earth X,mG";"Lower spine Accel Earth Y,mG";"Lower spine Accel Earth Z,mG";"Becken Accel Earth X,mG";"Becken Accel Earth Y,mG";"Becken Accel Earth Z,mG";"LT Thigh Accel Earth X,mG";"LT Thigh Accel Earth Y,mG";"LT Thigh Accel Earth Z,mG";"LT Shank Accel Earth X,mG";"LT Shank Accel Earth Y,mG";"LT Shank Accel Earth Z,mG";"LT Foot Accel Earth X,mG";"LT Foot Accel Earth Y,mG";"LT Foot Accel Earth Z,mG";"RT Thigh Accel Earth X,mG";"RT Thigh Accel Earth Y,mG";"RT Thigh Accel Earth Z,mG";"RT Shank Accel Earth X,mG";"RT Shank Accel Earth Y,mG";"RT Shank Accel Earth Z,mG";"RT Foot Accel Earth X,mG";"RT Foot Accel Earth Y,mG";"RT Foot Accel Earth Z,mG";"Upper spine Rot X,";"Upper spine Rot Y,";"Upper spine Rot Z,";"LT Upper arm Rot X,";"LT Upper arm Rot Y,";"LT Upper arm Rot Z,";"LT Forearm Rot X,";"LT Forearm Rot Y,";"LT Forearm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Upper arm Rot X,";"RT Upper arm Rot Y,";"RT Upper arm Rot Z,";"RT Forearm Rot X,";"RT Forearm Rot Y,";"RT Forearm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Lower spine Rot X,";"Lower spine Rot Y,";"Lower spine Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,";"LT Thigh Rot X,";"LT Thigh Rot Y,";"LT Thigh Rot Z,";"LT Shank Rot X,";"LT Shank Rot Y,";"LT Shank Rot Z,";"LT Foot Rot X,";"LT Foot Rot Y,";"LT Foot Rot Z,";"RT Thigh Rot X,";"RT Thigh Rot Y,";"RT Thigh Rot Z,";"RT Shank Rot X,";"RT Shank Rot Y,";"RT Shank Rot Z,";"RT Foot Rot X,";"RT Foot Rot Y,";"RT Foot Rot Z,"
0.00;0.477795;-0.486607;-2.53405;4.3817;2.52217;8.95019;0.0261161;-4.7687;3.71445;7.09108;3.36154;6.75799;-1.58315;-2.16705;-40.7905;-44.7038;1.37835;1.14645;-0.167961;1.10913;46.988;34.3787;0.334644;0.585482;-0.322233;-0.277294;-0.150702;-1.26333;0.732609;2.50927;-0.328151;7.10921;-0.902499;0.905676;-0.286582;0.620166;-0.243969;0.169475;-1.43984;-1.95127;274.312;-4.22094;1.17917;265.286;0.395706;-0.698177;267.814;0.90392;-0.193494;315.121;-0.387594;-0.867429;315.126;-0.361557;-0.86746;358.142;-0.735658;0.0121288;267.967;1.23992;-0.512672;268.301;0.514627;-1.41204;269.746;0.262931;-1.16244;229.822;4.14226;0.590044;229.774;-0.626169;0.588631;174.152;-0.18802;-0.713711;266.551;1.49128;0.0511448;273.658;-0.903471;-0.974267;271.701;-0.316183;-0.794588;0;-9.64403;-12.0891;-1.28876;14.1582;5.62808;9.9581;9.94708;-13.3489;-0.283425;-0.811102;-3.21975;7.16074;-0.16391;-8.18932;4.19021;-5.86213;-8.96477;-4.57086;13.1499;-3.99768;-1.40969;-11.5703;-12.0115;4.24554;-14.5022;-16.6157;1.36325;-0.437076;-6.78606;0.0733445;-0.909091;-11.2089;-2.2835;1.45566;-3.76937;-2.85055;-28.1561;-20.0409;-3.23513;-11.1789;-7.62446;-8.45601;11.9001;-4.00776;-0.550709;0.567118;-0.138804;0.791133;0.607338;-0.39303;0.490509;0.421901;-0.578466;0.231887;0.303306;-0.576946;0.229082;-0.647199;-0.317404;-0.576394;-0.571927;-0.39626;-0.426413;-0.472684;-0.402429;-0.476041;0.741391;-0.115732;0.63451;0.507599;-0.124275;0.827138;0.450219;-0.694494;0.296585;0.246222;-0.743731;0.237249;0.247261;-0.242928;0.0498673;-0.620232;-0.528366;-0.458658;-0.477506;-0.625892;-0.420252;-0.293648;-0.0668352;-0.375315
0.01;0.45964;-0.484373;-2.53446;4.40128;2.52151;8.94079;0.0361608;-4.77209;3.73367;7.10105;3.38075;6.77073;-1.58796;-2.15949;-40.8309;-44.6418;1.37342;1.1283;-0.175557;1.11569;47.0452;34.3196;0.338827;0.570514;-0.32155;-0.279498;-0.101201;-1.24753;0.747326;2.5055;-0.39334;7.07006;-0.894735;0.889767;-0.274463;0.640743;-0.24097;0.148405;-1.41569;-1.92955;274.295;-4.227;1.18479;265.278;0.40934;-0.691559;267.814;0.899341;-0.188292;315.15;-0.377548;-0.858736;315.145;-0.341624;-0.858802;358.11;-0.728859;0.0242576;267.916;1.23908;-0.50777;268.317;0.502177;-1.39886;269.737;0.261277;-1.152;229.867;4.1447;0.588194;229.818;-0.626829;0.58677;174.14;-0.171848;-0.709153;266.56;1.47187;0.0591501;273.631;-0.924693;-0.951668;271.692;-0.316183;-0.793075;0;-17.4209;-14.4708;16.2384;15.8621;9.71218;5.58563;9.5857;-21.231;-5.27171;-3.36028;-11.3611;-0.427132;-12.7645;-13.4153;1.76812;-2.80966;-7.92142;5.78778;11.8517;-0.0954354;-3.3152;-6.11506;-20.2983;8.80459;-4.26687;-18.7142;4.26502;-8.04219;-9.30089;0.623428;-1.27273;-9.63572;3.27887;1.09175;1.98748;3.23062;-28.9605;-18.2935;-0.227027;-3.92373;-7.77108;4.26183;-2.53194;-6.85198;-4.46686;0.567106;-0.138679;0.791178;0.607327;-0.393145;0.490317;0.422146;-0.578284;0.231887;0.303554;-0.576831;0.229206;-0.64732;-0.317159;-0.576515;-0.571888;-0.396397;-0.426307;-0.472736;-0.402543;-0.47591;0.74148;-0.115665;0.634421;0.507578;-0.124209;0.827164;0.450532;-0.694262;0.296835;0.246046;-0.743753;0.237317;0.247206;-0.242872;0.0499906;-0.620273;-0.52841;-0.458704;-0.477448;-0.62614;-0.420011;-0.293654;-0.0668367;-0.375262
0.02;0.449738;-0.472648;-2.54454;4.42053;2.51585;8.93492;0.0646876;-4.77717;3.73367;7.10571;3.37962;6.7759;-1.59066;-2.15949;-40.8123;-44.6247;1.38546;1.12126;-0.175135;1.11094;47.0333;34.295;0.33548;0.552025;-0.312334;-0.293087;-0.0682009;-1.25317;0.762044;2.49985;-0.426486;7.03709;-0.890168;0.870753;-0.269473;0.659192;-0.229971;0.117258;-1.41666;-1.89046;274.279;-4.23305;1.19067;265.27;0.423609;-0.679679;267.814;0.902939;-0.187668;315.111;-0.385292;-0.860909;315.116;-0.320464;-0.860966;358.088;-0.720247;0.0462691;267.882;1.23908;-0.498374;268.317;0.488343;-1.38487;269.737;0.253009;-1.14852;229.867;4.14812;0.59467;229.818;-0.628478;0.593129;174.117;-0.164733;-0.695833;266.56;1.45753;0.0733816;273.595;-0.938336;-0.919025;271.692;-0.30797;-0.793075;0;-6.86835;-11.3554;3.07692;9.69645;12.5636;1.41536;0.126484;-20.8184;0.0708563;1.83288;-20.7214;-0.841701;-8.53358;-16.2177;6.52753;-5.56729;-5.18464;-0.905268;-0.824734;-2.47072;-0.359713;-8.52205;-17.1399;12.0051;-2.37192;-5.95138;-4.55714;-18.9691;-7.62434;5.90423;-1.72727;-26.4491;-1.93219;-3.00231;-8.49821;-0.0950183;-38.8151;-17.2559;2.78108;-1.92485;-5.4251;10.0796;-5.82347;-4.52489;3.85496;0.567095;-0.138554;0.791223;0.607391;-0.392964;0.490503;0.422468;-0.578062;0.231957;0.303797;-0.576707;0.229206;-0.64733;-0.317226;-0.576463;-0.571876;-0.39651;-0.426236;-0.472681;-0.402731;-0.475794;0.741575;-0.115549;0.634328;0.507603;-0.124215;0.827144;0.450691;-0.694104;0.297002;0.245924;-0.743754;0.23744;0.247145;-0.242934;0.0499906;-0.620277;-0.528536;-0.458646;-0.477402;-0.626403;-0.419657;-0.293655;-0.0667759;-0.375264
0.03;0.424431;-0.473206;-2.54857;4.44631;2.51885;8.92905;0.0819645;-4.7975;3.75118;7.12099;3.40391;6.79143;-1.58014;-2.16124;-40.7266;-44.6092;1.37397;1.10106;-0.176401;1.11712;46.9713;34.2638;0.3405;0.555547;-0.28605;-0.305207;-0.0528007;-1.29942;0.76695;2.50362;-0.457423;7.05976;-0.897932;0.863768;-0.269473;0.671964;-0.228971;0.0961886;-1.39445;-1.87308;274.27;-4.24275;1.18913;265.27;0.438828;-0.682734;267.814;0.893455;-0.189333;315.023;-0.381943;-0.844338;315.019;-0.300224;-0.844191;358.044;-0.709368;0.0619917;267.865;1.23408;-0.474273;268.326;0.478659;-1.36849;269.727;0.243087;-1.13286;229.874;4.15252;0.592203;229.826;-0.644644;0.590647;174.094;-0.155893;-0.677604;266.515;1.45162;0.0831659;273.568;-0.948947;-0.903959;271.684;-0.305917;-0.797615;0;-2.20887;-20.7308;1.15988;6.14811;0.236579;2.66644;0.424626;-16.1854;-2.67837;12.3035;-14.8913;-3.20349;-17.1798;-15.9621;1.30793;-0.633041;-12.3035;3.32426;2.44366;-5.32318;1.83746;-4.92551;-11.7563;8.05999;2.29457;-4.52374;0.486874;-21.4167;-10.4186;0.293378;4.09091;-22.2212;5.85513;-1.27371;-9.52622;2.85055;-23.9326;-19.058;6.69729;-1.03646;-14.0759;3.58535;2.40535;-5.1713;-1.46856;0.567037;-0.138494;0.791288;0.607784;-0.392371;0.49083;0.422818;-0.577858;0.232071;0.3041;-0.576581;0.229326;-0.647242;-0.317395;-0.576317;-0.571672;-0.39674;-0.42616;-0.472615;-0.402971;-0.475667;0.741667;-0.115544;0.634241;0.507532;-0.124213;0.827189;0.450711;-0.693951;0.297198;0.24574;-0.743751;0.2375;0.247015;-0.242926;0.050111;-0.62009;-0.528837;-0.45846;-0.477337;-0.62658;-0.41947;-0.293606;-0.0667787;-0.375218
0.04;0.423881;-0.476835;-2.55421;4.4561;2.51386;8.91377;0.100045;-4.7992;3.76475;7.12166;3.42313;6.79183;-1.57022;-2.16298;-40.5987;-44.6542;1.36741;1.08949;-0.185263;1.11598;46.8497;34.3081;0.33799;0.553786;-0.255329;-0.307411;-0.0682009;-1.40094;0.758773;2.50173;-0.449689;7.14321;-0.902043;0.864156;-0.27874;0.671255;-0.204974;0.0998529;-1.3761;-1.86092;274.253;-4.25183;1.18402;265.27;0.438828;-0.682734;267.822;0.892801;-0.185588;314.877;-0.378595;-0.832656;314.873;-0.278758;-0.832826;358.033;-0.703929;0.0727728;267.891;1.23075;-0.43955;268.343;0.482809;-1.33812;269.727;0.236472;-1.12764;229.815;4.14421;0.591895;229.766;-0.654541;0.590337;174.077;-0.152443;-0.662531;266.416;1.44909;0.086279;273.559;-0.947432;-0.902704;271.684;-0.305917;-0.793075;0;-10.0358;-4.25098;-1.98147;7.25477;-3.6732;5.92684;-8.30278;-19.3056;4.37892;3.59202;-13.5344;1.89697;-3.60602;-10.4899;9.01017;2.90505;-3.29056;8.68167;9.84336;-1.84509;10.1109;-4.29355;-8.21505;0.770728;-0.786342;-14.4828;3.15494;-0.699321;-7.34491;-2.27368;-2.27273;-27.039;-3.04467;0.727832;-6.16805;0.380073;-25.0388;-16.7645;-0.85135;0.296131;-5.71835;3.3824;-1.01278;-9.17906;-6.0578;0.566986;-0.138435;0.791363;0.608318;-0.391567;0.491366;0.423245;-0.577612;0.232254;0.304273;-0.5765;0.229379;-0.647017;-0.317771;-0.57615;-0.571577;-0.396881;-0.426119;-0.472546;-0.403147;-0.475598;0.741667;-0.115544;0.634241;0.507526;-0.124211;0.827179;0.450475;-0.693902;0.297265;0.245561;-0.743641;0.237565;0.246957;-0.242928;0.0501727;-0.619652;-0.529378;-0.458147;-0.47727;-0.626635;-0.419404;-0.293646;-0.0667739;-0.375191
0.05;0.418105;-0.473485;-2.55099;4.45969;2.50522;8.9032;0.109286;-4.80216;3.78339;7.10504;3.44403;6.7767;-1.57022;-2.15542;-40.4456;-44.7224;1.35865;1.08677;-0.194125;1.12692;46.7018;34.3754;0.334644;0.562591;-0.235189;-0.323204;-0.111101;-1.53742;0.758773;2.51304;-0.397759;7.29776;-0.904783;0.874245;-0.265908;0.676931;-0.195975;0.100769;-1.38769;-1.87134;274.236;-4.25486;1.18045;265.262;0.438511;-0.678152;267.814;0.886587;-0.184339;314.712;-0.36541;-0.823148;314.708;-0.256065;-0.823356;358.011;-0.694864;0.0808587;267.924;1.22157;-0.417491;268.326;0.471742;-1.31854;269.718;0.238126;-1.11719;229.733;4.12417;0.592203;229.684;-0.677635;0.590802;174.06;-0.155893;-0.650963;266.271;1.45246;0.0996211;273.568;-0.953495;-0.903332;271.684;-0.305917;-0.793075;0;-6.00981;-5.81161;5.13893;-9.34513;-9.30128;3.51314;-14.9522;-22.9415;1.16204;3.118;-29.4837;-13.3667;-6.0237;-19.2946;8.06556;0.156092;-2.26326;9.66114;0.870553;-0.827107;3.7138;-10.9105;-4.04372;1.6329;-13.0069;-3.62931;-3.31074;-2.8847;-20.2384;-3.66722;9.27273;-16.2234;-3.98149;1.81958;-6.57926;-12.8275;-5.63121;-6.33446;-1.81621;-8.73585;-16.9351;-14.612;5.82347;-7.30447;-8.26064;0.566976;-0.138372;0.79141;0.608992;-0.390653;0.491979;0.423658;-0.577472;0.232429;0.304459;-0.576445;0.229443;-0.646653;-0.318321;-0.575969;-0.571378;-0.397114;-0.426107;-0.472442;-0.403285;-0.475555;0.741673;-0.115484;0.634246;0.507491;-0.124156;0.827221;0.450173;-0.693969;0.297267;0.245558;-0.74357;0.237806;0.246902;-0.242874;0.050235;-0.619051;-0.530179;-0.457604;-0.477318;-0.626618;-0.419454;-0.293646;-0.0667739;-0.375191
0.06;0.414254;-0.47516;-2.5401;4.46132;2.51153;8.88969;0.113706;-4.79496;3.79752;7.07712;3.4542;6.74924;-1.58105;-2.14901;-40.2774;-44.8294;1.35646;1.0963;-0.196657;1.12749;46.5348;34.487;0.347193;0.559949;-0.237237;-0.34267;-0.170502;-1.67165;0.783303;2.51869;-0.320417;7.45437;-0.888341;0.882782;-0.255928;0.681898;-0.175978;0.0952725;-1.41763;-1.88959;274.228;-4.25728;1.18735;265.262;0.438511;-0.678152;267.798;0.882499;-0.182883;314.527;-0.358922;-0.819616;314.523;-0.245331;-0.819568;357.989;-0.689878;0.0858;267.967;1.23158;-0.416265;268.301;0.455141;-1.30216;269.718;0.231511;-1.12068;229.614;4.10461;0.605925;229.558;-0.690172;0.604452;174.048;-0.158049;-0.638694;266.127;1.44655;0.117855;273.577;-0.96259;-0.897682;271.675;-0.310023;-0.791561;0;0.550135;-11.7397;1.27265;-10.5396;-30.3194;-4.18291;-2.23154;-16.555;-7.75168;-1.78021;-28.1153;-10.1758;11.402;-11.6923;10.8994;4.24918;1.09953;7.89512;2.37493;-3.7644;16.5663;-16.4865;-10.1691;-5.94375;-3.45475;-9.18508;8.35476;-8.6541;-24.5496;-0.880134;-14.4545;-3.93295;-2.10785;3.18426;-8.22407;-2.18542;2.61449;-8.24572;-3.85945;-1.33259;-6.89134;-8.25307;-0.253194;-5.04202;-0.0611899;0.566992;-0.138253;0.791432;0.60966;-0.389675;0.492709;0.42391;-0.57736;0.232556;0.304589;-0.5764;0.22951;-0.646273;-0.319047;-0.575713;-0.571329;-0.397245;-0.426116;-0.472371;-0.403398;-0.475545;0.741673;-0.115484;0.634246;0.507476;-0.124092;0.827257;0.449915;-0.69413;0.297013;0.245617;-0.743504;0.238109;0.246899;-0.242931;0.0502343;-0.618442;-0.531035;-0.457056;-0.477392;-0.626634;-0.419465;-0.293652;-0.0668362;-0.375137
0.07;0.401876;-0.489119;-2.53567;4.46589;2.50721;8.87089;0.0992413;-4.79073;3.81222;7.06782;3.47737;6.74048;-1.56662;-2.14669;-40.1311;-44.9023;1.34442;1.08132;-0.192859;1.12159;46.3917;34.5691;0.358069;0.569634;-0.247478;-0.361401;-0.228803;-1.80475;0.79475;2.53752;-0.24197;7.58831;-0.870072;0.888215;-0.24666;0.706733;-0.168979;0.0879439;-1.44466;-1.88351;274.211;-4.25728;1.17432;265.262;0.440096;-0.687825;267.798;0.872034;-0.178514;314.362;-0.3449;-0.803316;314.358;-0.245638;-0.803334;357.967;-0.690784;0.0893938;268.026;1.23158;-0.421167;268.275;0.44269;-1.28938;269.718;0.228204;-1.11545;229.517;4.08798;0.596057;229.468;-0.702378;0.594525;174.042;-0.163224;-0.621167;265.991;1.44655;0.137424;273.577;-0.982297;-0.888893;271.675;-0.303864;-0.791561;0;-0.966904;-7.56441;-9.03744;-19.3226;-26.2353;-7.26638;-0.993804;-18.3601;-14.5114;0.115872;-30.3001;-5.15071;12.5904;-7.48873;6.44276;-1.37881;-17.7449;5.93618;-7.75861;-2.94789;2.17772;-8.40124;-15.2656;-1.04505;-9.41032;-6.6394;-3.70024;13.1997;-14.5701;1.90696;-11.5455;-2.65474;-0.351308;-1.63762;-3.01549;2.94557;16.9942;-6.82593;-6.69729;2.59114;-14.2959;2.09709;-3.29153;-5.1713;-2.56998;0.566983;-0.138251;0.791481;0.610332;-0.388759;0.493259;0.423971;-0.57736;0.232617;0.304702;-0.576322;0.229625;-0.645933;-0.319487;-0.575553;-0.571259;-0.3973;-0.426171;-0.472271;-0.403539;-0.475567;0.741676;-0.115545;0.634248;0.507408;-0.124029;0.827308;0.449601;-0.694361;0.296764;0.24568;-0.743448;0.238355;0.246842;-0.242935;0.0502351;-0.617889;-0.531825;-0.456504;-0.477394;-0.626758;-0.419406;-0.293653;-0.0667754;-0.375139
0.08;0.383446;-0.513129;-2.51269;4.48058;2.50355;8.85738;0.102857;-4.78014;3.82182;7.05054;3.49206;6.72416;-1.5564;-2.14029;-40.02;-44.9768;1.33457;1.06929;-0.199611;1.12578;46.2987;34.6478;0.364761;0.565232;-0.267959;-0.368746;-0.284904;-1.88258;0.799655;2.53752;-0.193355;7.66559;-0.855456;0.875798;-0.243096;0.728021;-0.172978;0.0650418;-1.44466;-1.85918;274.202;-4.26394;1.16205;265.278;0.446121;-0.695971;267.789;0.859443;-0.162701;314.245;-0.338831;-0.798698;314.251;-0.235825;-0.798734;357.956;-0.684892;0.0866985;268.068;1.22658;-0.424844;268.267;0.431623;-1.27859;269.718;0.219936;-1.09979;229.442;4.05963;0.593899;229.394;-0.719863;0.592508;174.042;-0.161499;-0.604691;265.901;1.43052;0.158771;273.559;-1.002;-0.858134;271.692;-0.301811;-0.783994;0;-5.10959;-6.15518;-2.27144;-20.2009;-35.6113;-5.54772;1.12932;-12.9535;-6.83055;13.6097;-23.4237;-8.20344;21.0932;-5.23548;1.44114;1.67366;-6.37245;-0.831066;1.95493;1.73905;10.1886;-13.2989;-20.7609;5.60411;0.876578;-8.22185;-3.64182;17.483;-14.4902;-1.61358;-11.4545;-9.63572;6.08933;-0.90979;-2.26162;-2.5655;31.0722;-8.90101;2.61081;5.99664;-23.1666;11.2296;1.26597;-4.58953;1.8357;0.566916;-0.138311;0.791533;0.61076;-0.388149;0.493686;0.424103;-0.577313;0.232622;0.304818;-0.576309;0.229743;-0.645619;-0.319849;-0.575545;-0.571147;-0.397307;-0.4263;-0.472252;-0.403645;-0.475609;0.741694;-0.11567;0.634203;0.507349;-0.123846;0.827372;0.449312;-0.694569;0.296591;0.245615;-0.743438;0.238474;0.246712;-0.242928;0.0502946;-0.617525;-0.532437;-0.45614;-0.477461;-0.62695;-0.419167;-0.293719;-0.0667155;-0.375206
0.09;0.370518;-0.525971;-2.51591;4.49331;2.51785;8.85033;0.0908038;-4.76235;3.8529;7.03059;3.5254;6.70784;-1.5582;-2.12632;-39.978;-45.0404;1.32965;1.06839;-0.213116;1.13311;46.2844;34.7184;0.367271;0.563471;-0.269666;-0.38307;-0.323404;-1.92544;0.791479;2.52622;-0.165733;7.6934;-0.839927;0.87541;-0.248799;0.72873;-0.166979;0.0522167;-1.42921;-1.84354;274.194;-4.27363;1.16077;265.27;0.448657;-0.710736;267.789;0.849959;-0.164366;314.196;-0.319158;-0.785386;314.192;-0.228465;-0.785476;357.913;-0.695317;0.0884953;268.111;1.21991;-0.427295;268.284;0.433006;-1.2658;269.718;0.214975;-1.09457;229.368;4.03078;0.596828;229.319;-0.73108;0.595456;174.042;-0.159989;-0.599783;265.856;1.41955;0.171224;273.541;-1.00352;-0.846206;271.692;-0.301811;-0.783994;0;-7.64354;-13.2596;10.294;-24.7857;-35.4619;-0.556036;5.25813;-9.30038;-5.56931;13.4516;-16.1217;-10.5275;21.5644;-11.626;2.65219;4.41394;-2.00644;-2.0925;-3.61967;2.52374;5.50264;-11.0127;-14.7632;1.84191;-10.8412;-15.8073;0.0778999;26.3994;-0.39918;9.6448;-0.636364;-15.5351;-3.63018;2.27447;-1.16508;-3.23062;42.1335;-7.42661;5.5054;11.9193;-16.5685;8.9972;4.05111;-10.084;-3.73258;0.566858;-0.138251;0.791599;0.611077;-0.387852;0.493757;0.424276;-0.577298;0.232738;0.304957;-0.576159;0.23;-0.64536;-0.320147;-0.575593;-0.571018;-0.397485;-0.426234;-0.47224;-0.403696;-0.475597;0.741705;-0.115733;0.634213;0.507278;-0.123844;0.827417;0.449063;-0.694745;0.296466;0.245503;-0.743407;0.238483;0.246654;-0.242931;0.0503562;-0.617349;-0.532749;-0.455962;-0.477436;-0.627039;-0.419023;-0.293719;-0.0667155;-0.375206
0.10;0.352363;-0.538813;-2.51511;4.48808;2.51519;8.83447;0.0763395;-4.74922;3.86194;7.00401;3.53275;6.68157;-1.56421;-2.11992;-39.9965;-45.0667;1.32856;1.07224;-0.214382;1.13644;46.3345;34.7644;0.377311;0.566112;-0.26318;-0.364706;-0.339904;-1.91416;0.791479;2.5055;-0.163523;7.67589;-0.842668;0.866873;-0.242383;0.715958;-0.15598;0.0467202;-1.41763;-1.8392;274.177;-4.26758;1.16001;265.27;0.448657;-0.710736;267.781;0.831972;-0.151674;314.196;-0.304508;-0.782398;314.202;-0.228158;-0.7825;357.869;-0.69713;0.0893938;268.128;1.21157;-0.407687;268.292;0.423323;-1.24902;269.718;0.211667;-1.08761;229.323;4.0122;0.604383;229.274;-0.736689;0.603056;174.042;-0.157833;-0.595927;265.865;1.40436;0.166332;273.541;-0.997456;-0.841184;271.684;-0.30797;-0.783994;0;-2.70066;-7.90216;-1.80427;-22.8183;-32.735;4.49884;0.596283;0.0257866;4.97411;2.98106;-7.94587;-0.854263;27.2398;-8.04731;3.99645;9.39155;11.6775;-6.30719;-8.67498;9.90408;11.3942;-4.34002;-12.2907;-1.45001;-7.23177;-12.7456;-0.1558;30.4205;-8.82188;4.54736;1.81818;-15.9284;-2.10785;5.09482;-6.03099;-5.51106;28.4577;-15.1809;2.78108;8.95795;-11.2901;-2.23239;-0.886181;-1.68067;3.0595;0.566917;-0.138189;0.791596;0.611157;-0.387886;0.493662;0.424468;-0.577249;0.232987;0.305192;-0.576019;0.230298;-0.645228;-0.320325;-0.575645;-0.570943;-0.397536;-0.426224;-0.472258;-0.403712;-0.475615;0.741705;-0.115733;0.634213;0.507163;-0.123724;0.827489;0.448883;-0.694749;0.296529;0.245319;-0.743403;0.238543;0.246597;-0.242934;0.050357;-0.617342;-0.532743;-0.456079;-0.477435;-0.627038;-0.418961;-0.293718;-0.0667763;-0.375205
